Div,Date,HomeTeam,AwayTeam,FullTimeHomeGoal,FullTimeAwayGoal,FullTimeResult,HalfTimeHomeGoal,HalfTimeAwayGoal,HalfTimeResult,Referee,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget
E0,13 08 2016,Burnley,Swansea,0,1,A,0,0,D,J Moss,10,17,3,9
E0,13 08 2016,Crystal Palace,West Brom,0,1,A,0,0,D,C Pawson,14,13,4,3
E0,13 08 2016,Everton,Tottenham,1,1,D,1,0,H,M Atkinson,12,13,6,4
E0,13 08 2016,Hull,Leicester,2,1,H,1,0,H,M Dean,14,18,5,5
E0,13 08 2016,Man City,Sunderland,2,1,H,1,0,H,R Madley,16,7,4,3
E0,13 08 2016,Middlesbrough,Stoke,1,1,D,1,0,H,K Friend,12,12,2,1
E0,13 08 2016,Southampton,Watford,1,1,D,0,1,A,R East,24,5,6,1
E0,14 08 2016,Arsenal,Liverpool,3,4,A,1,1,D,M Oliver,9,16,5,7
E0,14 08 2016,Bournemouth,Man United,1,3,A,0,1,A,A Marriner,9,11,3,7
E0,15 08 2016,Chelsea,West Ham,2,1,H,0,0,D,A Taylor,16,7,6,3
E0,19 08 2016,Man United,Southampton,2,0,H,1,0,H,A Taylor,12,13,5,1
E0,20 08 2016,Burnley,Liverpool,2,0,H,2,0,H,L Mason,3,26,2,5
E0,20 08 2016,Leicester,Arsenal,0,0,D,0,0,D,M Clattenburg,8,13,1,4
E0,20 08 2016,Stoke,Man City,1,4,A,0,2,A,M Dean,8,12,3,6
E0,20 08 2016,Swansea,Hull,0,2,A,0,0,D,S Attwell,13,12,3,4
E0,20 08 2016,Tottenham,Crystal Palace,1,0,H,0,0,D,M Oliver,20,10,5,2
E0,20 08 2016,Watford,Chelsea,1,2,A,0,0,D,J Moss,6,13,2,4
E0,20 08 2016,West Brom,Everton,1,2,A,1,1,D,N Swarbrick,11,13,4,7
E0,21 08 2016,Sunderland,Middlesbrough,1,2,A,0,2,A,M Atkinson,18,8,5,3
E0,21 08 2016,West Ham,Bournemouth,1,0,H,0,0,D,C Pawson,15,8,2,5
E0,27 08 2016,Chelsea,Burnley,3,0,H,2,0,H,M Clattenburg,22,6,10,0
E0,27 08 2016,Crystal Palace,Bournemouth,1,1,D,0,1,A,M Dean,24,10,5,3
E0,27 08 2016,Everton,Stoke,1,0,H,0,0,D,M Oliver,21,8,9,1
E0,27 08 2016,Hull,Man United,0,1,A,0,0,D,J Moss,8,29,2,9
E0,27 08 2016,Leicester,Swansea,2,1,H,1,0,H,R East,13,9,6,3
E0,27 08 2016,Southampton,Sunderland,1,1,D,0,0,D,L Mason,16,5,7,2
